date,China: Financial Institutions: Total Deposits Balance: RMB:PoP GROWTHRATE,China: Industrial Added Value Above Designated Size: YoY,China: FAI: YTD:PoP GROWTHRATE,Surveyed Urban Unemployment Rate in 31 Big Cities and Towns:PoP chg,China: Urban Surveyed Unemployed Rate: Mean:PoP chg,China: No. of New Employed Persons in Urban Areas: YTD:PoP GROWTHRATE,China: Consumer Confidence Index: Employment:PoP chg,China: Consumer Satisfaction Index: Employment:PoP chg,China: Consumer Expectation Index: Employment:PoP chg,China: Total Retail Sales of Consumer Goods:PoP GROWTHRATE,China: Total Retail Sales of Consumer Goods: Merchandise Retail:PoP GROWTHRATE,China: Total Retail Sales of Consumer Goods: Catering Revenue:PoP GROWTHRATE,China: Total Retail Sales of Consumer Goods: Retail Sales of the Enterprises (units) excluding Vehicles:PoP GROWTHRATE,China: Retail Sales of the Enterprises (units) above Designated Size:PoP GROWTHRATE,China: Value of Imports and Exports:PoP GROWTHRATE,China: Trade Balance:Combine With Forecast:PoP GROWTHRATE,ChinaBond: Government Bond YTM: 10Y:PoP chg,T-Bond YTM: 10Y:PoP chg,Yicai Research Institute: China Financial Condition Index:PoP chg,Percent Change: SSE Composite Index,Percent Change: CSI 300 Index,Percent Change: SZSE Component Index,Hang Seng Index:PoP GROWTHRATE,USA: Wilshire 5000 Total Market Full Cap Index:PoP GROWTHRATE,USA: The NASDAQ Composite Index:PoP GROWTHRATE,USA: S&P 500 Index:PoP GROWTHRATE,China: Financial Institutions: Total Loans Balance: RMB:PoP GROWTHRATE,China: Financial Institutions: New RMB Loans:PoP GROWTHRATE,China: Financial Institutions: New RMB Deposits:PoP GROWTHRATE,China: M0:PoP GROWTHRATE,China: M1:PoP GROWTHRATE,China: Credit Lending Weighted Interest Rate of Depository Institutions: 3M:PoP chg,China: SHIBOR: O/N:PoP chg,China: SHIBOR: 1W:PoP chg,Wind Consensus: China: PMI:PoP chg,China: Non-manufacturing PMI: Service Industry:PoP chg,China: Non-manufacturing PMI: Service Industry: New Orders:PoP chg,China: Non-manufacturing PMI: Construction:PoP chg,China: Non-manufacturing PMI: Construction: New Orders:PoP chg,China: Non-manufacturing PMI: New Orders:PoP chg,China: Steel Industry PMI:PoP chg,China: Industrial Added Value Above Designated Size: Mining: YoY,China: Industrial Added Value Above Designated Size: Electric Power,Gas and Water Production and Supply: YoY,China: Industrial Added Value Above Designated Size: Fixed-base Index:PoP GROWTHRATE,China: Industrial Added Value Above Designated Size: High-Tech Industry: YoY,China: Business Climate Index: Expectation Index:PoP chg,China: Manufacturing PMI:PoP chg,China: Manufacturing PMI: New Orders:PoP chg,China Electricity Coal of Purchasing Manager Index: Composite Index:PoP chg,China Forestry Purchasing Managers' Index:PoP chg,China: Completed Investment in Real Estate Development: YTD:PoP GROWTHRATE,China: CPI: Fixed-base Index:PoP GROWTHRATE,China: PPI: Fixed-base Index:PoP GROWTHRATE,China: PPI: Total Industry Products: MoM,China: CPI: Excluding Food and Energy (Core CPI): MoM,China: Basket Crude Oil Price Change Rate,China: Consumer Confidence Index:PoP chg,China: Consumer Expectation Index:PoP chg,China Bulk Commodity Price Index: General Index:PoP,China: Price Index for Means of Production:PoP,China Bulk Commodity Price Index: Energy:PoP,China: CPI: Food: MoM,China: CPI: Non-food: MoM,China: CPI: Consumer Goods: MoM,China: CPI: Services: MoM,China: PPI: Means of Production: MoM,China: PPI: Consumer Goods: MoM,China: BCI: Labor Costs:PoP,Ask: USD/CNY: 2M-Bid: USD/CNY: 2M:PoP GROWTHRATE,Ask: USD/CNY: 2W-Bid: USD/CNY: 2W:PoP GROWTHRATE,Real Effective Exchange Rate Index: CNY:PoP GROWTHRATE,Nominal Effective Exchange Rate Index: CNY:PoP GROWTHRATE,Ask: USD/CNY: 1Y-Bid: USD/CNY: 1Y:PoP GROWTHRATE,China: Central Parity Rate: USDCNY:PoP GROWTHRATE,USD/CNY: Spot Exchange Rate:PoP GROWTHRATE,China: Current Employment Sentiment Index:PoP chg,China: Employment Expectation Index:PoP chg,China: Index of Future Price Expectation:PoP chg,China: Industrial Capacity Utilization:PoP chg,China: Industrial Added Value Above Designated Size: Manufacturing: YoY,China: Business Climate Index:PoP chg,China: Business Climate Index: Spot Index:PoP chg,China: GDP: Current Prices:PoP GROWTHRATE
9/30/92,-0.993356022,-0.002149431,-0.058028588,0.116380637,-0.052875976,-0.103790706,-0.174593139,-0.143270478,-0.19198335,0.308694592,-0.349256974,0.058570067,-0.084446606,-0.178402631,-0.202694723,0.110191761,0.353128524,0.034532657,0.240566309,-0.722252321,-0.092354311,-0.366398488,-1.560950738,0.483365427,0.988181078,0.358704174,-0.410990644,0.009949775,0.051844714,-0.502826254,-0.262702925,0.13179841,-0.61119531,-0.201453557,-0.069091444,-0.013384797,-0.00861793,-0.066245526,-0.027570924,-0.013970048,0.273673937,-0.43941053,0.001633093,-0.228617509,-0.096443382,-0.060627647,-0.240028698,-0.259203965,-0.058862674,-0.324392165,-0.012771214,0.038627102,-0.185540298,-0.18297706,-0.291352646,-0.388122209,-0.017275839,0.146111805,-0.196892976,-0.034052729,0.017492105,-0.013959011,-0.516858984,-1.139221402,-0.457558285,-0.108775422,-0.219906269,-0.423989394,0.022231992,0.121397716,-0.060813564,-0.613063183,-0.241790246,-0.0924115,0.005584452,0.352763103,0.076090799,-0.032669999,-0.664462747,-0.108191134,-0.205502254,-0.108781388,-0.086672764,0.507591167
10/31/92,0.972388878,0.176501023,0.131892306,0.049929333,-0.399666003,-0.338564367,0.186036578,0.154013665,0.202434907,-0.74012343,-0.309856409,-0.320684407,-0.022944115,0.347444111,0.373744635,-0.49496414,0.336624413,0.24421388,-0.354041875,0.007524408,-0.042671664,-0.090307747,-0.085793523,-0.409954832,-0.546632168,-0.361089326,0.610135313,0.550495502,0.404126106,0.210179862,-0.441637202,0.145372487,0.550121746,0.081878325,-0.169379392,0.257027913,0.312706676,0.078176369,0.059557634,0.245641098,0.062610992,-0.566326149,-0.115447677,0.291977498,-0.16324299,-0.106147074,0.372236347,0.339596363,-0.42104112,0.035046751,0.35531026,0.102162695,-0.301115545,-0.211533123,-0.305534374,0.238358968,-0.06813916,-0.031904956,-0.565998207,0.054292148,0.325591398,0.013495821,-0.006441378,-0.817794214,-0.047275544,0.081540163,-0.24435329,-0.241892191,0.07462341,0.344770544,-0.427540297,0.097386332,-0.070686064,-0.382990591,0.063799284,0.075269091,-0.162232164,-0.24343466,-0.220311496,-0.407783784,-0.038357041,-0.402804874,-0.358172015,0.00918019
11/30/92,-0.409995629,0.52377694,-0.07933043,-0.160128463,0.535167244,0.452695139,-0.305935438,-0.297388018,-0.305515984,0.763169752,-0.261376158,0.068355559,-0.409000913,-0.687520909,-0.389263116,0.283030426,-0.134817518,0.236089504,-0.135649622,8.88220297,-0.038816556,6.53233557,0.005271858,-0.110412508,0.048402022,-0.0798038,0.508976213,-0.627406272,-0.550548726,-0.224180229,-0.655909455,-0.169877754,0.064589232,-0.261067411,0.357074505,-0.301891023,-0.377362578,0.034925605,0.171714093,-0.271081771,0.157656154,-0.121880329,0.421403459,-0.428252217,0.489116251,0.432990852,-0.158645004,-0.115199501,0.551908563,-0.119810664,-0.396923689,0.020290605,0.4263363,0.001154533,-0.01958535,0.499245968,0.2937534,0.222349895,-0.917516316,0.052408346,-0.170610459,0.052559914,-0.044277229,-0.00538347,-0.279645331,0.602279902,-0.039600334,-0.308909417,-0.082174058,-0.528251108,0.558064871,-0.332014403,-0.262283055,0.530915673,0.211962164,0.24959506,0.20523076,0.313251994,0.286143117,0.533544092,0.052012141,0.530206112,0.470060745,-0.017655753
12/31/92,2.465689173,0.775536986,2.078372292,0.161704058,-0.384326306,-0.325368487,0.147375037,0.180593923,0.125518572,0.301710069,-0.135098028,0.425489593,0.319588342,0.030525409,-0.357083771,-0.255931985,0.83848268,-0.029159447,0.365971904,0.964724875,-0.167536903,0.323240636,0.708584395,-0.317321787,0.74506895,-0.782567032,5.082557871,0.343893158,0.408579079,-0.688788838,-1.291327901,0.374454885,-0.282731128,-0.35405424,-0.333358066,0.283138685,0.263847711,0.025479278,-0.089178375,0.221780664,-0.352745438,-0.6562267,-0.455446866,-0.076744238,-0.477629665,-0.422804186,0.159804832,0.136696152,-0.394962989,0.356217287,0.31614727,-0.051880546,-0.351514667,0.06387711,0.079441966,-0.352841311,-0.185197925,-0.120308456,-1.570344013,0.051015304,0.33701228,0.183734254,-0.532477148,-0.054429636,-0.2122105,-0.507650904,0.131937527,-0.01902709,0.157117726,0.368206047,-0.400222804,-0.335411532,-0.165480556,-0.363773272,0.047419185,0.169776616,-0.45278551,-0.434330957,-0.660401918,-0.39812584,0.16939937,-0.392209109,-0.132462724,0.315284002
1/31/93,-4.858114569,-2.934558894,-2.062704735,-0.110112149,-0.00436888,0.421410434,0.108220972,0.105701815,0.10714423,-0.516042928,0.023397871,-0.051083012,0.00320567,0.007612206,1.329986498,-0.089125966,0.047924402,0.117142552,-0.151992422,0.037679074,0.261727765,0.153110862,-0.033389257,-0.250881938,-0.122081389,-0.20978174,-5.208234407,-0.033123207,0.048908205,-2.14664358,0.104051359,0.063267177,0.442304537,0.07340274,-0.045841507,0.050081034,0.094134499,0.343915636,0.395453652,0.093560352,-0.201042586,-0.017042873,0.508260013,0.78813126,0.413692395,0.637173307,0.194595569,0.143005896,-0.008680639,0.504416865,0.050180132,0.482134993,0.077869218,0.106091518,-0.096629895,-0.503968667,-0.026601544,-0.007663857,-3.358593472,-0.098803647,0.000478854,-0.029192887,-1.18318809,-0.777962107,-0.769561243,-0.618561649,0.029628398,-0.330409832,-0.268071348,0.071318866,-0.021715223,-0.794056826,-0.393652048,-0.036375788,0.26653244,0.339540863,-0.000128175,-0.000672764,-0.005318437,-0.011123134,-0.002903105,-0.010667969,-0.013445925,-0.003694169
2/28/93,2.838316935,3.078578887,0.045412718,-0.172258181,-0.186544763,-0.276104368,-0.017087414,0.011704256,-0.033353526,-0.638018121,0.221367773,0.097043531,0.164516401,0.18253896,1.152099239,0.515264366,0.103600269,0.059611502,-0.259637847,-0.006879406,-0.15377556,-0.128063647,0.220074874,0.217703781,0.198352732,0.233279828,0.271459295,0.386569825,0.167160486,1.023012953,0.980298684,0.041105183,-0.195781999,0.086027168,0.013605215,0.334557745,0.303630994,0.202428428,-0.159657443,0.342212763,-0.155635338,-0.114671124,-0.100460659,0.78362141,-0.105296766,-0.094276494,0.33354307,0.293165637,-0.192623647,0.229174009,0.372286923,0.018553487,-0.269143783,-0.069524611,-0.268170533,0.265431423,-0.214792984,-0.131622135,0.15697838,-0.169528627,-0.272483123,-0.213588586,-1.187452568,-0.24852272,-0.853007299,0.276268303,-0.082815417,-0.011097194,0.115233142,0.097982726,-0.190866717,-0.73411746,-0.271449061,-0.19541712,0.139867059,-0.00739428,-0.068986615,-0.104989614,-0.100222365,-0.187517445,-0.019837278,-0.185503788,-0.168647477,0.001334587
3/31/93,-0.823607722,-0.982413196,-0.084881336,-0.108677487,0.167233718,-0.04388199,0.09035622,0.081871739,0.095469183,1.323422722,-0.058042795,-0.150138619,-0.126695573,-0.150966562,-1.68589125,-0.119029388,-0.011290342,-0.054912449,-0.184091716,-2.218341779,0.063244372,0.369215772,-0.201606764,0.226769831,0.487768648,0.028222655,-0.853128777,-0.263886196,-0.175860269,0.981902908,-0.804752163,0.295532279,-0.074652736,0.029444979,0.070360654,-0.379950143,-0.430976171,-1.147995929,-0.879656059,-0.45436426,0.337575681,-0.339621854,-0.12185404,-1.213550783,-0.061650838,-0.353791332,-0.859959619,-0.75659193,0.153162498,-1.255381125,-0.419021588,-2.70189154,0.218287158,-0.174691558,-0.250315604,0.514522934,0.193696862,0.329190361,0.590601081,-0.063414441,0.008153199,-0.119595778,0.794636503,0.465676096,0.517796437,0.678570137,-0.257326724,-0.116596577,0.198089839,-0.135605278,0.103442946,0.570620339,-0.107922624,0.090842166,-0.032949088,0.398352968,-0.602915522,-0.33750832,1.489504337,0.3522539,0.128428728,0.315913396,-0.143893536,-0.122903016
4/30/93,0.59843704,-0.015750332,0.344876945,-0.110691563,0.066025094,0.136430439,0.379481533,0.403591533,0.358697623,-0.637438383,0.000417937,-0.064921457,0.000897251,-0.103593548,-0.280057259,-0.124229302,0.302190427,0.272849407,-0.10783636,0.356176597,-0.321314628,0.033709529,-1.013922161,0.608085072,0.536533237,0.445208046,0.401453357,-0.102971992,-0.08151263,-0.068322898,-0.084324667,-0.018968611,0.017293541,0.050998642,-0.411120744,0.027981208,0.034677688,0.036038709,0.031677596,0.08196783,-0.409814722,-0.182220127,0.080544853,0.191547994,0.069611464,0.125776339,-0.106702719,-0.053182924,0.094386318,0.347603301,-0.030222259,1.138771836,0.249391945,0.02650004,-0.251484167,-0.467261837,0.031169032,0.653824137,1.185205573,-0.103379864,-0.084529074,-0.130843201,0.315368835,-0.542659602,0.19715387,-0.53767929,0.00815299,-0.00360047,0.153835095,-0.107020608,0.097306455,0.282855249,0.088075712,0.112197386,0.089446318,0.061961002,0.033452145,0.053201437,0.05074763,0.091644132,0.009118266,0.090938414,0.077414735,-0.008970167
5/31/93,-0.193943287,0.274070539,-0.143401857,-0.08615948,0.12893996,-0.001799482,-0.013838675,-0.024900779,-0.00494368,-0.663200632,-0.691404945,-0.531302711,-0.386553505,-0.232522621,0.024704633,-0.412984909,-0.043704491,-0.079938551,0.128670318,-2.656174464,-0.119878779,1.376163199,-0.345390961,0.018357962,0.102606552,0.06555443,-0.024009607,-0.097180205,-0.148514442,0.363135378,-0.503080221,-0.172916178,-0.106965007,-0.359668999,0.146121814,-0.117971475,-0.068884651,0.127269715,0.052989196,-0.093051159,0.278181058,-0.277419923,-0.105779128,-0.191473036,-0.052147963,-0.089202556,0.321247206,0.306210387,0.123403342,0.104986931,-0.112213001,0.289698272,0.107832955,-0.020279532,-0.259585347,0.231721638,0.133141702,0.27861131,1.07132346,-0.120286286,-0.014495057,-0.184862433,0.467330793,-0.133323397,0.289725648,0.274664628,-0.028821754,0.082533374,-0.205906124,-0.061088838,0.141396615,0.448562202,0.076542935,0.048039792,0.341549843,-0.037812556,0.044316628,0.069660548,0.06572157,0.119475624,0.01179014,0.118524007,0.101902433,-0.009763604
6/30/93,-0.496036343,0.334259171,-0.405908483,0.357222622,0.051842512,-0.034370677,0.014011012,0.030265855,0.000241174,0.772753254,-0.177574851,0.428694374,-0.211246084,-0.277482158,-0.220740035,-0.11683201,-0.042343718,0.072288914,-0.410252888,-1.313548494,-0.210955062,-0.762795236,-0.284202347,-0.068711612,0.13573172,-0.207414019,-0.206864456,-0.117775276,-0.053080501,0.035282129,-1.200951081,-0.068524673,0.068061967,-0.047198727,0.107752499,-0.100403981,-0.131062348,-0.051197876,-0.018181588,-0.075559994,0.076574996,-0.469635416,-0.089184974,-0.430277619,-0.065918336,-0.138999467,0.138939797,0.192177615,0.035149603,0.090682934,-0.069442813,0.089495198,0.027988443,0.168102935,0.035018328,0.037992538,-0.011610489,0.456090598,0.917659024,-0.091194652,0.000662586,-0.155938872,0.537193937,0.096117673,0.210193727,-0.126041014,0.2135171,0.112071593,0.286957215,-0.025624995,0.042185281,0.372755475,-0.003499644,0.018976444,0.068386958,0.184542026,0.526182052,0.528459851,-0.482733684,-0.109173799,-0.170516269,-0.064209078,0.201055398,1.029942869
