Date,China: GDP: Current Prices:PoP GROWTHRATE,Surveyed Urban Unemployment Rate in 31 Big Cities and Towns:PoP chg,China: Urban Surveyed Unemployed Rate: Mean:PoP chg,China: No. of New Employed Persons in Urban Areas: YTD:PoP GROWTHRATE,China: Current Employment Sentiment Index:PoP chg,China: Employment Expectation Index:PoP chg,China: Consumer Confidence Index: Employment:PoP chg,China: Consumer Satisfaction Index: Employment:PoP chg,China: Consumer Expectation Index: Employment:PoP chg,China: Total Retail Sales of Consumer Goods:PoP GROWTHRATE,China: Total Retail Sales of Consumer Goods: Merchandise Retail:PoP GROWTHRATE,China: Total Retail Sales of Consumer Goods: Catering Revenue:PoP GROWTHRATE,China: Total Retail Sales of Consumer Goods: Retail Sales of the Enterprises (units) excluding Vehicles:PoP GROWTHRATE,China: Retail Sales of the Enterprises (units) above Designated Size:PoP GROWTHRATE,China: Value of Imports and Exports:PoP GROWTHRATE,China: Trade Balance:Combine With Forecast:PoP GROWTHRATE,ChinaBond: Government Bond YTM: 10Y:PoP chg,T-Bond YTM: 10Y:PoP chg,Yicai Research Institute: China Financial Condition Index:PoP chg,Percent Change: SSE Composite Index,Percent Change: CSI 300 Index,Percent Change: SZSE Component Index,Hang Seng Index:PoP GROWTHRATE,USA: Wilshire 5000 Total Market Full Cap Index:PoP GROWTHRATE,USA: The NASDAQ Composite Index:PoP GROWTHRATE,USA: S&P 500 Index:PoP GROWTHRATE,China: Financial Institutions: Total Loans Balance: RMB:PoP GROWTHRATE,China: Financial Institutions: New RMB Loans:PoP GROWTHRATE,China: Financial Institutions: Total Deposits Balance: RMB:PoP GROWTHRATE,China: Financial Institutions: New RMB Deposits:PoP GROWTHRATE,China: M0:PoP GROWTHRATE,China: M1:PoP GROWTHRATE,China: Credit Lending Weighted Interest Rate of Depository Institutions: 3M:PoP chg,China: SHIBOR: O/N:PoP chg,China: SHIBOR: 1W:PoP chg,China: Industrial Capacity Utilization:PoP chg,Wind Consensus: China: PMI:PoP chg,China: Non-manufacturing PMI: Service Industry:PoP chg,China: Non-manufacturing PMI: Service Industry: New Orders:PoP chg,China: Non-manufacturing PMI: Construction:PoP chg,China: Non-manufacturing PMI: Construction: New Orders:PoP chg,China: Non-manufacturing PMI: New Orders:PoP chg,China: Steel Industry PMI:PoP chg,China: Industrial Added Value Above Designated Size: Mining: YoY,China: Industrial Added Value Above Designated Size: YoY,China: Industrial Added Value Above Designated Size: Electric Power, Gas and Water Production and Supply: YoY,China: Industrial Added Value Above Designated Size: Fixed-base Index:PoP GROWTHRATE,China: Industrial Added Value Above Designated Size: High-Tech Industry: YoY,China: Industrial Added Value Above Designated Size: Manufacturing: YoY,China: Business Climate Index:PoP chg,China: Business Climate Index: Spot Index:PoP chg,China: Business Climate Index: Expectation Index:PoP chg,China: Manufacturing PMI:PoP chg,China: Manufacturing PMI: New Orders:PoP chg,China Electricity Coal of Purchasing Manager Index: Composite Index:PoP chg,China Forestry Purchasing Managers' Index:PoP chg,China: FAI: YTD:PoP GROWTHRATE,China: Completed Investment in Real Estate Development: YTD:PoP GROWTHRATE,China: CPI: Fixed-base Index:PoP GROWTHRATE,China: PPI: Fixed-base Index:PoP GROWTHRATE,China: PPI: Total Industry Products: MoM,China: CPI: Excluding Food and Energy (Core CPI): MoM,China: Basket Crude Oil Price Change Rate,China: Consumer Confidence Index:PoP chg,China: Consumer Expectation Index:PoP chg,China: Index of Future Price Expectation:PoP chg,China Bulk Commodity Price Index: General Index:PoP,China: Price Index for Means of Production:PoP,China Bulk Commodity Price Index: Energy:PoP,China: CPI: Food: MoM,China: CPI: Non-food: MoM,China: CPI: Consumer Goods: MoM,China: CPI: Services: MoM,China: PPI: Means of Production: MoM,China: PPI: Consumer Goods: MoM,China: BCI: Labor Costs:PoP,Ask: USD/CNY: 2M-Bid: USD/CNY: 2M:PoP GROWTHRATE,Ask: USD/CNY: 2W-Bid: USD/CNY: 2W:PoP GROWTHRATE,Real Effective Exchange Rate Index: CNY:PoP GROWTHRATE,Nominal Effective Exchange Rate Index: CNY:PoP GROWTHRATE,Ask: USD/CNY: 1Y-Bid: USD/CNY: 1Y:PoP GROWTHRATE,China: Central Parity Rate: USDCNY:PoP GROWTHRATE,USD/CNY: Spot Exchange Rate:PoP GROWTHRATE
1969-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-06,,,,,,,,,,,,,,,,,,,,,,,0.451322494,,,-0.687140346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-07,,,,,,,,,,,,,,,,,,,,,,,0.1799602,,,-0.204907055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-08,,,,,,,,,,,,,,,,,,,,,,,0.786725731,,,0.05396363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-09,,,,,,,,,,,,,,,,,,,,,,,-0.466171539,,,-0.302572092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-13,,,,,,,,,,,,,,,,,,,,,,,0.063803996,,,0.098097997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-14,,,,,,,,,,,,,,,,,,,,,,,-0.351426834,,,-0.152638495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-15,,,,,,,,,,,,,,,,,,,,,,,0.415190146,,,0.032727868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-16,,,,,,,,,,,,,,,,,,,,,,,0.610067983,,,-0.832425398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-20,,,,,,,,,,,,,,,,,,,,,,,0.402921724,,,0.200579519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-21,,,,,,,,,,,,,,,,,,,,,,,0.956705749,,,0.089017476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-22,,,,,,,,,,,,,,,,,,,,,,,0.229992331,,,0.04447904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-23,,,,,,,,,,,,,,,,,,,,,,,-0.298470561,,,-0.983138295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-27,,,,,,,,,,,,,,,,,,,,,,,0.349258182,,,-0.625748671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-28,,,,,,,,,,,,,,,,,,,,,,,0.1057839,,,-0.951787473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-29,,,,,,,,,,,,,,,,,,,,,,,0.409633145,,,-1.275527498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-30,,,,,,,,,,,,,,,,,,,,,,,1.634143749,,,-0.784960975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-03,,,,,,,,,,,,,,,,,,,,,,,-0.205985775,,,1.182485376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-04,,,,,,,,,,,,,,,,,,,,,,,0.411548121,,,-0.612683264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-05,,,,,,,,,,,,,,,,,,,,,,,1.033476722,,,-0.395027817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.499333326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
