Date,ChinaBond: Government Bond YTM: 10Y:PoP chg,T-Bond YTM: 10Y:PoP chg,Yicai Research Institute: China Financial Condition Index:PoP chg,Percent Change: SSE Composite Index,Percent Change: CSI 300 Index,Percent Change: SZSE Component Index,Hang Seng Index:PoP GROWTHRATE,USA: Wilshire 5000 Total Market Full Cap Index:PoP GROWTHRATE,USA: The NASDAQ Composite Index:PoP GROWTHRATE,USA: S&P 500 Index:PoP GROWTHRATE
1/6/70,,,,,,,0.451322494,,,-0.687140346
1/7/70,,,,,,,0.1799602,,,-0.204907055
1/8/70,,,,,,,0.786725731,,,0.05396363
1/9/70,,,,,,,-0.466171539,,,-0.302572092
1/13/70,,,,,,,0.063803996,,,0.098097997
1/14/70,,,,,,,-0.351426834,,,-0.152638495
1/15/70,,,,,,,0.415190146,,,0.032727868
1/16/70,,,,,,,0.610067983,,,-0.832425398
1/20/70,,,,,,,0.402921724,,,0.200579519
1/21/70,,,,,,,0.956705749,,,0.089017476
1/22/70,,,,,,,0.229992331,,,0.04447904
1/23/70,,,,,,,-0.298470561,,,-0.983138295
1/27/70,,,,,,,0.349258182,,,-0.625748671
1/28/70,,,,,,,0.1057839,,,-0.951787473
1/29/70,,,,,,,0.409633145,,,-1.275527498
1/30/70,,,,,,,1.634143749,,,-0.784960975
2/3/70,,,,,,,-0.205985775,,,1.182485376
2/4/70,,,,,,,0.411548121,,,-0.612683264
2/5/70,,,,,,,1.033476722,,,-0.395027817
2/6/70,,,,,,,,,,0.499333326
2/10/70,,,,,,,,,,-1.051364314
2/11/70,,,,,,,0.047491838,,,0.970881413
2/12/70,,,,,,,-1.128067112,,,-0.241838086
2/13/70,,,,,,,-0.228351761,,,-0.21931099
2/17/70,,,,,,,0.204204275,,,-0.115713968
2/18/70,,,,,,,0.43703485,,,1.231245058
2/19/70,,,,,,,0.005973537,,,0.36529721
2/20/70,,,,,,,1.010349733,,,0.307184951
2/24/70,,,,,,,0.18063694,,,
2/25/70,,,,,,,-0.203968718,,,1.533806995
2/26/70,,,,,,,1.021483055,,,-0.504909909
2/27/70,,,,,,,0.506855134,,,0.672648276
3/3/70,,,,,,,-0.18882505,,,0.577972044
3/4/70,,,,,,,1.579668054,,,-0.210794997
3/5/70,,,,,,,1.355079809,,,-0.044434571
3/6/70,,,,,,,1.862415394,,,-0.624166092
3/10/70,,,,,,,1.437449885,,,0.270788837
3/11/70,,,,,,,-1.995052592,,,-0.067628497
3/12/70,,,,,,,-0.301133439,,,-0.406734263
3/13/70,,,,,,,1.209586139,,,-0.533516221
3/17/70,,,,,,,-1.055069035,,,0.43628083
3/18/70,,,,,,,-1.796230063,,,0.285992302
3/19/70,,,,,,,0.086786727,,,-0.137174233
3/20/70,,,,,,,0.276131094,,,-0.412655331
