Date,China: Industrial Capacity Utilization:PoP chg,Wind Consensus: China: PMI:PoP chg,China: Non-manufacturing PMI: Service Industry:PoP chg,China: Non-manufacturing PMI: Service Industry: New Orders:PoP chg,China: Non-manufacturing PMI: Construction:PoP chg,China: Non-manufacturing PMI: Construction: New Orders:PoP chg,China: Non-manufacturing PMI: New Orders:PoP chg,China: Steel Industry PMI:PoP chg,China: Industrial Added Value Above Designated Size: Mining: YoY,China: Industrial Added Value Above Designated Size: YoY,China: Industrial Added Value Above Designated Size: Electric Power, Gas and Water Production and Supply: YoY,China: Industrial Added Value Above Designated Size: Fixed-base Index:PoP GROWTHRATE,China: Industrial Added Value Above Designated Size: High-Tech Industry: YoY,China: Industrial Added Value Above Designated Size: Manufacturing: YoY,China: Business Climate Index:PoP chg,China: Business Climate Index: Spot Index:PoP chg,China: Business Climate Index: Expectation Index:PoP chg,China: Manufacturing PMI:PoP chg,China: Manufacturing PMI: New Orders:PoP chg,China Electricity Coal of Purchasing Manager Index: Composite Index:PoP chg,China Forestry Purchasing Managers' Index:PoP chg
1/31/90,,,,,,,,,,-21.1,,,,,,,,,,,,
2/28/90,,,,,,,,,,5,,,,,,,,,,,,
3/31/90,,,,,,,,,,0.8,,,,,,,,,,,,
4/30/90,,,,,,,,,,1.7,,,,,,,,,,,,
5/31/90,,,,,,,,,,3.3,,,,,,,,,,,,
6/30/90,,,,,,,,,,5,,,,,,,,,,,,
7/31/90,,,,,,,,,,2.5,,,,,,,,,,,,
8/31/90,,,,,,,,,,4.2,,,,,,,,,,,,
9/30/90,,,,,,,,,,6.7,,,,,,,,,,,,
10/31/90,,,,,,,,,,10.9,,,,,,,,,,,,
11/30/90,,,,,,,,,,12.6,,,,,,,,,,,,
12/31/90,,,,,,,,,,12.6,,,,,,,,,,,,
1/31/91,,,,,,,,,,23.5,,,,,,,,,,,,
2/28/91,,,,,,,,,,9.2,,,,,,,,,,,,
3/31/91,,,,,,,,,,10.9,,,,,,,,,,,,
4/30/91,,,,,,,,,,10.9,,,,,,,,,,,,
5/31/91,,,,,,,,,,10.9,,,,,,,,,,,,
6/30/91,,,,,,,,,,9.2,,,,,,,,,,,,
7/31/91,,,,,,,,,,10.9,,,,,,,,,,,,
8/31/91,,,,,,,,,,11.8,,,,,,,,,,,,
9/30/91,,,,,,,,,,12.6,,,,,,,,,,,,
10/31/91,,,,,,,,,,11.8,,,,,,,,,,,,
11/30/91,,,,,,,,,,7.6,,,,,,,,,,,,
12/31/91,,,,,,,,,,5,,,,,,,,,,,,
1/31/92,,,,,,,,,,10.9,,,,,,,,,,,,
2/29/92,,,,,,,,,,18.5,,,,,,,,,,,,
3/31/92,,,,,,,,,,16.8,,,,,,,,,,,,
4/30/92,,,,,,,,,,15.1,,,,,,,,,,,,
5/31/92,,,,,,,,,,14.3,,,,,,,,,,,,
6/30/92,,,,,,,,,,16.8,,,,,,,,,,,,
7/31/92,,,,,,,,,,19.3,,,,,,,,,,,,
8/31/92,,,,,,,,,,17.6,,,,,,,,,,,,
9/30/92,,,,,,,,,,17.6,,,,,,,,,,,,
10/31/92,,,,,,,,,,18.5,,,,,,,,,,,,
11/30/92,,,,,,,,,,21.8,,,,,,,,,,,,
12/31/92,,,,,,,,,,26.9,,,,,,,,,,,,
1/31/93,,,,,,,,,,8.4,,,,,,,,,,,,
2/28/93,,,,,,,,,,27.7,,,,,,,,,,,,
3/31/93,,,,,,,,,,21.8,,,,,,,,,,,,
4/30/93,,,,,,,,,,21,,,,,,,,,,,,
5/31/93,,,,,,,,,,22.7,,,,,,,,,,,,
6/30/93,,,,,,,,,,25.2,,,,,,,,,,,,
7/31/93,,,,,,,,,,21,,,,,,,,,,,,
8/31/93,,,,,,,,,,19.3,,,,,,,,,,,,
9/30/93,,,,,,,,,,16,,,,,,,,,,,,
10/31/93,,,,,,,,,,13.4,,,,,,,,,,,,
11/30/93,,,,,,,,,,16,,,,,,,,,,,,
12/31/93,,,,,,,,,,25.2,,,,,,,,,,,,
1/31/94,,,,,,,,,,27.7,,,,,,,,,,,,
2/28/94,,,,,,,,,,3.4,,,,,,,,,,,,
3/31/94,,,,,,,,,,16,,,,,,,,,,,,
4/30/94,,,,,,,,,,16.8,,,,,,,,,,,,
5/31/94,,,,,,,,,,17.6,,,,,,,,,,,,
6/30/94,,,,,,,,,,15.1,,,,,,,,,,,,
7/31/94,,,,,,,,,,15.1,,,,,,,,,,,,
8/31/94,,,,,,,,,,29.4,,,,,,,,,,,,
9/30/94,,,,,,,,,,21.8,,,,,,,,,,,,
10/31/94,,,,,,,,,,24.4,,,,,,,,,,,,
11/30/94,,,,,,,,,,23.5,,,,,,,,,,,,
12/31/94,,,,,,,,,,18.5,,,,,,,,,,,,
1/31/95,,,,,,,,,,11.4,,,,,,,,,,,,
2/28/95,,,,,,,,,,15.5,,,,,,,,,,,,
3/31/95,,,,,,,,,,16.4,,,,,,,,,,,,
4/30/95,,,,,,,,,,15.4,,,,,,,,,,,,
5/31/95,,,,,,,,,,13.1,,,,,,,,,,,,
6/30/95,,,,,,,,,,13.9,,,,,,,,,,,,
7/31/95,,,,,,,,,,13.6,,,,,,,,,,,,
8/31/95,,,,,,,,,,11.8,,,,,,,,,,,,
9/30/95,,,,,,,,,,11.4,,,,,,,,,,,,
10/31/95,,,,,,,,,,12.9,,,,,,,,,,,,
11/30/95,,,,,,,,,,12.1,,,,,,,,,,,,
12/31/95,,,,,,,,,,14.9,,,,,,,,,,,,
1/31/96,,,,,,,,,,16.9,,,,,,,,,,,,
2/29/96,,,,,,,,,,12.2,,,,,,,,,,,,
3/31/96,,,,,,,,,,12.2,,,,,,,,,,,,
4/30/96,,,,,,,,,,13.7,,,,,,,,,,,,
5/31/96,,,,,,,,,,13.1,,,,,,,,,,,,
6/30/96,,,,,,,,,,13.8,,,,,,,,,,,,
7/31/96,,,,,,,,,,12.2,,,,,,,,,,,,
8/31/96,,,,,,,,,,10.6,,,,,,,,,,,,
9/30/96,,,,,,,,,,13.7,,,,,,,,,,,,
10/31/96,,,,,,,,,,13.3,,,,,,,,,,,,
11/30/96,,,,,,,,,,13.4,,,,,,,,,,,,
12/31/96,,,,,,,,,,14,,,,,,,,,,,,
1/31/97,,,,,,,,,,10.3,,,,,,,,,,,,
2/28/97,,,,,,,,,,10.4,,,,,,,,,,,,
3/31/97,,,,,,,,,,13.5,,,,,,,,,,,,
4/30/97,,,,,,,,,,11.9,,,,,,,,,,,,
5/31/97,,,,,,,,,,11.9,,,,,,,,,,,,
6/30/97,,,,,,,,,,12.1,,,,,,,,,,,,
7/31/97,,,,,,,,,,8.4,,,,,,,,,,,,
8/31/97,,,,,,,,,,10.9,,,,,,,,,,,,
9/30/97,,,,,,,,,,11.1,,,,,,,,,,,,
10/31/97,,,,,,,,,,11.8,,,,,,,,,,,,
11/30/97,,,,,,,,,,11.6,,,,,,,,,,,,
12/31/97,,,,,,,,,,9.2,,,,,,,,,,,,
1/31/98,,,,,,,,,,1.8,,,,,,,,,,,,
2/28/98,,,,,,,,,,9.5,,,,,,,,,,,,
3/31/98,,,,,,,,,,9,,,,,,,,,,,,
4/30/98,,,,,,,,,,7.2,,,,,,,,,,,,
5/31/98,,,,,,,,,,8,,,,,,,,,,,,
6/30/98,,,,,,,,,,7.9,,,,,,,,,,,,
7/31/98,,,,,,,,,,7.6,,,,,,,,,,,,
8/31/98,,,,,,,,,,7.9,,,,,,,,,,,,
9/30/98,,,,,,,,,,10.2,,,,,,,,,,,,
10/31/98,,,,,,,,,,10.6,,,,,,,,,,,,
11/30/98,,,,,,,,,,11,,,,,,,,,,,,
12/31/98,,,,,,,,,,11.5,,,,,,,,,,,,
1/31/99,,,,,,,,,,17.9,,,,,,,,,,,,
2/28/99,,,,,,,,,,2.1,,,,,,,,,,,,
3/31/99,,,,,,,,,,9,,,,,,,,,,,,
4/30/99,,,,,,,,,,9.1,,,,,,,,,,,,
5/31/99,,,,,,,,,,8.9,,,,,,,,,,,,
6/30/99,,,,,,,,,,9.1,,,,,,,,,,,,
7/31/99,,,,,,,,,,9.3,,,,,,,,,,,,
8/31/99,,,,,,,,,,9.5,,,,,,,,,,,,
9/30/99,,,,,,,,,,8.2,,,,,,,,,,,,
10/31/99,,,,,,,,,,7,,,,,,,,,,,,
11/30/99,,,,,,,,,,7.6,,,,,,,,,,,,
12/31/99,,,,,,,,,,7.4,,,,,,,,,,,,
1/31/00,,,,,,,,,,8.9,,,,,,,,,,,,
2/29/00,,,,,,,,,,12,,,,,,,,,,,,
3/31/00,,,,,,,,,,11.9,,,,,,,,,,,,
4/30/00,,,,,,,,,,11.4,,,,,,,,,,,,
5/31/00,,,,,,,,,,11.5,,,,,,,,,,,,
6/30/00,,,,,,,,,,12.2,,,,,,,,,,,,
7/31/00,,,,,,,,,,12.8,,,,,,,,,,,,
8/31/00,,,,,,,,,,12.8,,,,,,,,,,,,
9/30/00,,,,,,,,,,12,,,,,,,,,,,,
10/31/00,,,,,,,,,,11.4,,,,,,,,,,,,
11/30/00,,,,,,,,,,10.6,,,,,,,,,,,,
12/31/00,,,,,,,,,,10.4,,,,,,,,,,,,
1/31/01,,,,,,,,,,2.3,,,,,,,,,,,,
2/28/01,,,,,,,,,,19,,,,,,,,,,,,
3/31/01,,,,,,,,,,12.1,,,,,118.56,,,,,,,
4/30/01,,,,,,,,,,11.5,,,,,,,,,,,,
5/31/01,,,,,,,,,,10.2,,,,,,,,,,,,
6/30/01,,,,,,,,,,10.1,,,,,6.55,,,,,,,
7/31/01,,,,,,,,,,8.1,,,,,,,,,,,,
8/31/01,,,,,,,,,,8.1,,,,,,,,,,,,
9/30/01,,,,,,,,,,9.5,,,,,-5.32,,,,,,,
10/31/01,,,,,,,,,,8.8,,,,,,,,,,,,
11/30/01,,,,,,,,,,7.9,,,,,,,,,,,,
12/31/01,,,,,,,,,,8.7,,,,,-2.22,,,,,,,
1/31/02,,,,,,,,,,18.6,,,,,,,,,,,,
2/28/02,,,,,,,,,,2.7,,,,,,,,,,,,
3/31/02,,,,,,,,,,10.9,,,,,0.41,,,,,,,
4/30/02,,,,,,,,,,12.1,,,,,,,,,,,,
5/31/02,,,,,,,,,,12.9,,,,,,,,,,,,
6/30/02,,,,,,,,,,12.4,,,,,7.47,,,,,,,
7/31/02,,,,,,,,,,12.8,,,,,,,,,,,,
8/31/02,,,,,,,,,,12.7,,,,,,,,,,,,
9/30/02,,,,,,,,,,13.8,,,,,1.53,,,,,,,
10/31/02,,,,,,,,,,14.2,,,,,,,,,,,,
11/30/02,,,,,,,,,,14.5,,,,,,,,,,,,
12/31/02,,,,,,,,,,14.9,,,,,2.12,,,,,,,
1/31/03,,,,,,,,,,14.8,,,,,,,,,,,,
2/28/03,,,,,,,,,,19.8,,,,,,,,,,,,
3/31/03,,,,,,,,,,16.9,,,,,2.11,,,,,,,
4/30/03,,,,,,,,,,14.9,,,,,,,,,,,,
5/31/03,,,,,,,,,,13.7,,,,,,,,,,,,
6/30/03,,,,,,,,,,16.9,,,,,-14.61,,,,,,,
7/31/03,,,,,,,,,,16.5,,,,,,,,,,,,
8/31/03,,,,,,,,,,17.1,,,,,,,,,,,,
9/30/03,,,,,,,,,,16.3,,,,,16.35,,,,,,,
10/31/03,,,,,,,,,,17.2,,,,,,,,,,,,
11/30/03,,,,,,,,,,17.9,,,,,,,,,,,,
12/31/03,,,,,,,,,,18.1,,,,,3.02,,,,,,,
1/31/04,,,,,,,,,,7.2,,,,,,,,,,,,
2/29/04,,,,,,,,,,23.2,,,,,,,,,,,,
3/31/04,,,,,,,,,,19.4,,,,,-0.07,,,,,,,
4/30/04,,,,,,,,,,19.1,,,,,,,,,,,,
5/31/04,,,,,,,,,,17.5,,,,,,,,,,,,
6/30/04,,,,,,,,,,16.2,,,,,-1.47,,,,,,,
7/31/04,,,,,,,,,,15.5,,,,,,,,,,,,
8/31/04,,,,,,,,,,15.9,,,,,,,,,,,,
9/30/04,,,,,,,,,,16.1,,,,,0.16,,,,,,,
10/31/04,,,,,,,,,,15.7,,,,,,,,,,,,
11/30/04,,,,,,,,,,14.8,,,,,,,,,,,,
12/31/04,,,,,,,,,,14.4,,,,,0.14,,,,,,,
1/31/05,,,,,,,,,,20.9,,,,,,,,54.7,60.7,,,
2/28/05,,,,,,,,,,7.6,,,,,,,,-0.2,0.8,,,
3/31/05,,,,,,,,,,15.1,,,,,-2.27,,,3.4,2,,,
4/30/05,,,,,,,,,,16,,,,,,,,-1.2,-2.2,,,
5/31/05,,,,,,,,,,16.6,,,,,,,,-3.8,-5.7,,,
6/30/05,,,,,,,,,,16.8,,,,,-0.75,,,-1.2,-2.2,,,
7/31/05,,,,,,,,,,16.1,,,,,,,,-0.6,-0.2,,,
8/31/05,,,,,,,,,,16,,,,,,,,1.5,1.8,,,
9/30/05,,,,,,,,,,16.5,,,,,0.33,,,2.5,3.4,,,
10/31/05,,,,,,,,,,16.1,,,,,,,,-1,-0.3,,,
11/30/05,,,,,,,,,,16.6,,,,,,,,0,-0.1,,,
12/31/05,,,,,,,,,,16.5,,,,,-0.34,,,0.2,0.9,,,
1/31/06,,,,,,,,,,12.6,,,,,,,,-2.2,-3.2,,,
2/28/06,,,,,,,,,,20.1,,,,,,,,0,0,,,
3/31/06,,,,,,,,,,17.8,,,,,-0.2,,,3.2,5,,,
4/30/06,,,,,,,,,,16.6,,,,,,,,2.8,4.4,,,
5/31/06,,,,,,,,,,17.9,,,,,,,,-3.3,-4.1,,,
6/30/06,,,,,,,,,,19.5,,,,,4.4,,,-0.7,-3.7,,,
7/31/06,,,,,,,,,,16.7,,,,,,,,-1.7,-2.9,,,
8/31/06,,,,,,,,,,15.7,,,,,,,,0.7,2.9,,,
9/30/06,,,,,,,,,,16.1,,,,,0.8,,,3.9,5.4,,,
10/31/06,,,,,,,,,,14.7,,,,,,,,-2.3,-3,,,
11/30/06,,,,,,,,,,14.9,,,,,,,,0.6,-0.1,,,
12/31/06,,,,,,,,,,14.7,,,,,2.7,,,-0.5,-0.7,,,
1/31/07,,,,,,,57.3,,,24.71,,,,,,,,0.3,0.7,,,
2/28/07,,,,,,,0.6,,,12.6,,,,,,,,-2,-2.5,,,
3/31/07,,,,,,,-1,,,17.6,,,,,0.3,,,3,3.7,,,
4/30/07,,,,,,,0.3,,,17.4,,,,,,,,2.5,4.3,,,
5/31/07,,,,,,,0.3,,,18.1,,,,,,,,-2.9,-4.7,,,
