Date,China: Financial Institutions: Total Loans Balance: RMB:PoP GROWTHRATE,China: Financial Institutions: New RMB Loans:PoP GROWTHRATE,China: Financial Institutions: Total Deposits Balance: RMB:PoP GROWTHRATE,China: Financial Institutions: New RMB Deposits:PoP GROWTHRATE,China: M0:PoP GROWTHRATE,China: M1:PoP GROWTHRATE,China: Credit Lending Weighted Interest Rate of Depository Institutions: 3M:PoP chg,China: SHIBOR: O/N:PoP chg,China: SHIBOR: 1W:PoP chg
7/31/91,1.065599644,,2.199307536,,,,,,
8/31/91,1.470967086,,2.198383458,,,,,,
9/30/91,2.825575223,,2.164163557,,,,,,
10/31/91,2.112440702,,2.306535645,,,,,,
11/30/91,2.127816856,,2.524771041,,,,,,
12/31/91,10.20261551,,7.44513108,,,,,,
1/31/92,-6.942579867,,-6.559178872,,,,,,
2/29/92,0.495188692,,3.904528217,,,,,,
3/31/92,1.864052545,,2.844359415,,,,,,
4/30/92,2.046582788,,3.179784944,,,,,,
5/31/92,1.461106049,,2.706932356,,,,,,
6/30/92,2.120004444,,1.729884383,,,,,,
7/31/92,1.690678804,,2.744685523,,,,,,
8/31/92,1.59549784,,2.543727107,,,,,,
9/30/92,0.678106065,,-0.568859643,,,,,,
10/31/92,1.915016719,,1.915174848,,,,,,
11/30/92,1.991880565,,1.146519986,,,,,,
12/31/92,12.08037886,,10.50111647,,,,,,
1/31/93,-8.504992331,,-7.704294325,,,,,,
2/28/93,1.352821802,,3.016472635,,,,,,
3/31/93,0.1163528,,1.183550313,,,,,,
4/30/93,1.789231236,,1.609190527,,,,,,
5/31/93,0.933435802,,1.493859443,,,,,,
6/30/93,1.059743627,,0.517567539,,,,,,
7/31/93,0.826277043,,0.485935703,,,,,,
8/31/93,1.325767181,,1.063333124,,,,,,
9/30/93,2.175394647,,1.295850074,,,,,,
10/31/93,2.640063371,,3.290592616,,,,,,
11/30/93,4.004863481,,3.871241954,,,,,,
12/31/93,14.71529615,,13.18153206,,,,,,
1/31/94,-10.05137346,,-13.00550972,,,,,,
2/28/94,0.441880352,,4.068276695,,,,,,
3/31/94,1.474335434,,3.895267904,,,,,,
4/30/94,1.815244903,,2.184917465,,,,,,
5/31/94,1.782118039,,3.861972217,,,,,,
6/30/94,1.752068758,,3.013458669,,,,,,
7/31/94,1.673474344,,3.121502625,,,,,,
8/31/94,1.532124719,,2.780557507,,,,,,
9/30/94,1.501917632,,1.462409298,,,,,,
10/31/94,2.016962984,,2.235330634,,,,,,
11/30/94,1.210104475,,2.11368942,,,,,,
12/31/94,14.20088614,,15.53588657,,,,,,
1/31/95,-7.355483165,,-10.23534304,,,,,,
2/28/95,-2.032326421,,1.720977746,,,,,,
3/31/95,3.195958024,,2.054445881,,,,,,
4/30/95,-1.055534961,,2.79495523,,,,,,
5/31/95,0.891545198,,2.791759702,,,,,,
6/30/95,0.622540883,,2.11394155,,,,,,
7/31/95,1.393244519,,1.794658343,,,,,,
8/31/95,1.561669676,,1.810284173,,,,,,
9/30/95,5.104874666,,2.097990035,,,,,,
10/31/95,2.135672675,,2.038155199,,,,,,
11/30/95,2.154390667,,1.885373425,,,,,,
12/31/95,16.84014309,,17.67626432,,,,,,
1/31/96,0.016518862,,0.907839262,,8.681426086,4.912937629,,,
2/29/96,1.037300603,,2.354258856,,7.828911602,0.237859379,,,
3/31/96,1.596654973,,3.23442488,,-12.97510204,-5.476919883,,,
4/30/96,1.748990429,,3.112362006,,-3.413057511,0.982236223,,,
5/31/96,1.058890332,,1.989221251,,-2.428509279,1.308445264,,,
6/30/96,1.859130578,,2.061737483,,-0.51824273,0.558467098,,,
7/31/96,1.480653773,,2.159354166,,1.856208384,1.924452483,,,
8/31/96,1.587494557,,2.122318855,,3.572612515,7.221048761,,,
9/30/96,1.516607537,,1.094700398,,3.825982402,-2.72976615,,,
10/31/96,1.787982008,,1.927679662,,-0.050553863,2.14309272,,,
11/30/96,1.380563812,,1.202998296,,3.505000406,2.301088985,,,
12/31/96,3.988369045,,1.976111529,,1.113194211,8.627872834,,,
1/31/97,5.270745605,,-0.371427002,,26.6759186,2.249292724,,,
2/28/97,0.842908565,,3.062911522,,-13.11848917,-4.927600487,,,
3/31/97,1.455406209,,2.534196797,,-8.247622182,-0.1547429,,,
4/30/97,0.763932665,,1.375870892,,-0.053882215,3.1603504,,,
5/31/97,0.917844368,,0.784327768,,-2.300706615,0.942495279,,,
6/30/97,1.583498662,,2.106100582,,0.615792577,2.607265926,,,
7/31/97,0.816599343,,0.933610812,,0.054797525,0.081287048,,,
8/31/97,1.163885775,,1.308643942,,2.167636621,1.579074453,,,
9/30/97,1.494047706,,1.517453874,,1.055840876,2.036442874,,,
10/31/97,1.112020037,,1.039998719,,0.666140449,0.547421226,,,
11/30/97,1.209526241,,0.972206615,,3.067444409,1.490897187,,,
12/31/97,3.660018442,,3.060037359,,3.938253241,5.661805766,,,
1/31/98,-0.102276031,,-1.910505307,,25.30615109,2.157598435,,,
2/28/98,0.25811983,,2.752607456,,-18.57686487,-6.353403043,,,
3/31/98,1.189694599,,1.301339002,,-6.499339579,-0.857083662,,,
4/30/98,0.841633626,,0.320825908,,-0.275252407,0.752222593,,,
5/31/98,0.966081966,,2.017607925,,-1.871327688,0.576870071,,,
6/30/98,1.911371102,,0.841529774,,-2.679298999,0.662421291,,,
7/31/98,0.955311902,,1.921901527,,3.208723165,1.70261848,,,
8/31/98,1.648689903,,0.730605742,,0.909139095,1.999893758,,,
9/30/98,2.152520759,,2.927145665,,3.862886705,4.056404399,,,
10/31/98,0.92030964,,1.154578165,,-0.256788386,0.775049591,,,
11/30/98,1.414068972,,1.570312586,,1.605929091,1.695481254,,,
12/31/98,2.252560135,,1.344915867,,4.875892637,4.032879546,,,
