Date,China: FAI: YTD:PoP GROWTHRATE,China: Completed Investment in Real Estate Development: YTD:PoP GROWTHRATE
12/31/82,,
12/31/83,,
12/31/84,,
12/31/85,,
12/31/86,,
12/31/87,,
12/31/88,,
12/31/89,,
12/31/90,,
12/31/91,,
3/31/92,91.88625293,
4/30/92,50.74141797,
5/31/92,42.23695852,
6/30/92,38.20976757,
7/31/92,23.67990564,
8/31/92,20.09218532,
9/30/92,18.92843882,
10/31/92,17.42548453,
11/30/92,16.06560038,
12/31/92,64.74713107,
3/31/93,81.74443276,
4/30/93,50.01359574,
5/31/93,43.27917029,
6/30/93,37.8425581,
7/31/93,23.86371399,
8/31/93,18.64921038,
9/30/93,17.60117075,
10/31/93,16.58282526,
11/30/93,15.5649445,
12/31/93,69.80246854,
3/31/94,88.55594123,
4/30/94,53.35820267,
5/31/94,40.39922068,
6/30/94,41.57769627,
7/31/94,28.75836635,
8/31/94,17.4974749,
9/30/94,17.61318882,
10/31/94,14.16741201,
11/30/94,13.91541019,
12/31/94,67.28622221,
3/31/95,92.40814337,
4/30/95,47.62572376,
5/31/95,37.52961193,
6/30/95,36.24552463,
7/31/95,22.64205408,
8/31/95,19.75182838,
9/30/95,18.09820266,
10/31/95,14.45809219,
11/30/95,13.23288388,
12/31/95,54.28218672,
3/31/96,100.5938263,
4/30/96,47.72938667,
5/31/96,40.12328447,
6/30/96,40.05068646,
7/31/96,22.7911785,
8/31/96,17.24127852,
9/30/96,17.1838391,
10/31/96,13.83858454,
11/30/96,13.67606868,
12/31/96,47.83189934,
3/31/97,92.0830269,
4/30/97,49.48576017,
5/31/97,38.5049901,
6/30/97,39.53743019,
7/31/97,18.89527453,
8/31/97,17.89601301,
9/30/97,17.22464678,
10/31/97,15.57865676,
11/30/97,13.94656932,
12/31/97,45.31099052,
3/31/98,90.63199649,
4/30/98,51.6905389,
5/31/98,38.95232566,
6/30/98,37.49315193,
7/31/98,23.36600354,
8/31/98,19.45701474,
9/30/98,19.45386229,
10/31/98,16.52304616,
11/30/98,15.97383342,
12/31/98,33.89955195,
3/31/99,87.26913459,87.88523773
4/30/99,48.02894058,44.24405934
5/31/99,37.34103214,34.23948155
6/30/99,34.19037889,30.87499283
7/31/99,21.58700999,20.27083286
8/31/99,17.73865138,17.86279461
9/30/99,17.17008207,16.44821196
10/31/99,15.57475983,14.10700864
11/30/99,15.85298389,13.54322518
12/31/99,33.05746891,28.47231552
3/31/00,85.05823623,77.58376061
4/30/00,47.9635069,44.58724236
5/31/00,37.08747507,34.25764326
6/30/00,36.4993047,32.20044933
7/31/00,21.8943228,21.63660444
8/31/00,17.65902818,18.06324092
9/30/00,18.50619591,17.00031385
10/31/00,15.23400064,13.761963
11/30/00,14.8086885,13.15783191
12/31/00,28.71929751,26.93588619
3/31/01,81.72180326,74.98644284
4/30/01,50.34742118,44.54598261
5/31/01,38.08548864,37.2761459
6/30/01,36.47851931,32.41619828
7/31/01,21.87515428,22.26251602
8/31/01,18.06607312,18.41520039
9/30/01,17.89329641,16.4733275
10/31/01,14.61017604,13.58439379
11/30/01,13.86456307,12.05048887
