Date,China: CPI: Fixed-base Index:PoP GROWTHRATE,China: PPI: Fixed-base Index:PoP GROWTHRATE,China: PPI: Total Industry Products: MoM,China: CPI: Excluding Food and Energy (Core CPI): MoM,China: Basket Crude Oil Price Change Rate,China: Consumer Confidence Index:PoP chg,China: Consumer Expectation Index:PoP chg,China: Index of Future Price Expectation:PoP chg,China Bulk Commodity Price Index: General Index:PoP,China: Price Index for Means of Production:PoP,China Bulk Commodity Price Index: Energy:PoP,China: CPI: Food: MoM,China: CPI: Non-food: MoM,China: CPI: Consumer Goods: MoM,China: CPI: Services: MoM,China: PPI: Means of Production: MoM,China: PPI: Consumer Goods: MoM,China: BCI: Labor Costs:PoP
1/31/91,,,,,,110.5,110.2,,,,,,,,,,,
2/28/91,,,,,,1.5,1.7,,,,,,,,,,,
3/31/91,,,,,,0.8,1,,,,,,,,,,,
4/30/91,,,,,,0.1,0.3,,,,,,,,,,,
5/31/91,,,,,,-0.5,-0.5,,,,,,,,,,,
6/30/91,,,,,,-1.2,-1.3,,,,,,,,,,,
7/31/91,,,,,,-1.1,-1.3,,,,,,,,,,,
8/31/91,,,,,,-0.9,-1.1,,,,,,,,,,,
9/30/91,,,,,,-0.5,-0.6,,,,,,,,,,,
10/31/91,,,,,,-0.1,0,,,,,,,,,,,
11/30/91,,,,,,0.1,0.5,,,,,,,,,,,
12/31/91,,,,,,0.3,0.7,,,,,,,,,,,
1/31/92,,,,,,0.2,15.7,,,,,,,,,,,
2/29/92,,,,,,0.5,0,,,,,,,,,,,
3/31/92,,,,,,0.8,-0.1,,,,,,,,,,,
4/30/92,,,,,,1.5,-0.2,,,,,,,,,,,
5/31/92,,,,,,2,0.2,,,,,,,,,,,
6/30/92,,,,,,2.2,0.8,,,,,,,,,,,
7/31/92,,,,,,1.8,1.2,,,,,,,,,,,
8/31/92,,,,,,1.4,1,,,,,,,,,,,
9/30/92,,,,,,0.9,0.2,,,,,,,,,,,
10/31/92,,,,,,0.3,-1.3,,,,,,,,,,,
11/30/92,,,,,,0.3,-3,,,,,,,,,,,
12/31/92,,,,,,0.1,-4.1,,,,,,,,,,,
1/31/93,,,,,,0.2,-9.8,,,,,,,,,,,
2/28/93,,,,,,0.1,0.9,,,,,,,,,,,
