date,actuals
3/31/92,
4/30/92,
5/31/92,
6/30/92,
7/31/92,
8/31/92,
9/30/92,0.300448274
10/31/92,
11/30/92,
12/31/92,0.18115248
1/31/93,
2/28/93,
3/31/93,-0.077665272
4/30/93,
5/31/93,
6/30/93,0.599289401
7/31/93,
8/31/93,
9/30/93,0.39810777
10/31/93,
11/30/93,
12/31/93,0.414000914
1/31/94,
2/28/94,
3/31/94,0.081663544
4/30/94,
5/31/94,
6/30/94,0.611347539
7/31/94,
8/31/94,
9/30/94,0.382014319
10/31/94,
11/30/94,
12/31/94,0.257897665
1/31/95,
2/28/95,
3/31/95,-0.229185213
4/30/95,
5/31/95,
6/30/95,0.494250227
7/31/95,
8/31/95,
9/30/95,0.278599286
10/31/95,
11/30/95,
12/31/95,0.138681593
1/31/96,
2/29/96,
3/31/96,-0.418621691
4/30/96,
5/31/96,
6/30/96,0.267826888
7/31/96,
8/31/96,
9/30/96,0.127217139
10/31/96,
11/30/96,
12/31/96,0.21013166
1/31/97,
2/28/97,
3/31/97,-0.559703344
4/30/97,
5/31/97,
6/30/97,0.105515661
7/31/97,
8/31/97,
9/30/97,0.015923476
10/31/97,
11/30/97,
12/31/97,0.125198165
1/31/98,
2/28/98,
3/31/98,-0.621346263
4/30/98,
5/31/98,
6/30/98,-0.058690818
7/31/98,
8/31/98,
9/30/98,0.03855609
10/31/98,
11/30/98,
12/31/98,0.20713747
1/31/99,
2/28/99,
3/31/99,-0.625578579
4/30/99,
5/31/99,
6/30/99,-0.133080944
7/31/99,
8/31/99,
9/30/99,0.008439717
10/31/99,
11/30/99,
12/31/99,0.219362567
1/31/00,
2/29/00,
3/31/00,-0.324368733
4/30/00,
5/31/00,
6/30/00,-0.039887939
7/31/00,
8/31/00,
9/30/00,0.013256662
10/31/00,
11/30/00,
12/31/00,0.096721485
1/31/01,
2/28/01,
3/31/01,-0.105394471
4/30/01,
5/31/01,
6/30/01,-0.1635478
7/31/01,
8/31/01,
9/30/01,-0.055400199
10/31/01,
11/30/01,
12/31/01,-0.014750407
1/31/02,
2/28/02,
3/31/02,-0.067221681
4/30/02,
5/31/02,
6/30/02,-0.158834785
7/31/02,
8/31/02,
9/30/02,0.022257795
10/31/02,
11/30/02,
12/31/02,-0.019170282
1/31/03,
2/28/03,
3/31/03,0.15538645
4/30/03,
5/31/03,
6/30/03,-0.2970277
7/31/03,
8/31/03,
9/30/03,0.124430895
10/31/03,
11/30/03,
12/31/03,0.036990481
1/31/04,
2/29/04,
3/31/04,0.299478009
4/30/04,
5/31/04,
6/30/04,-0.088143205
7/31/04,
8/31/04,
9/30/04,0.101524788
10/31/04,
11/30/04,
12/31/04,-0.033795341
1/31/05,
2/28/05,
3/31/05,0.270787315
4/30/05,
5/31/05,
6/30/05,-0.180095291
7/31/05,
8/31/05,
9/30/05,0.037028261
10/31/05,
11/30/05,
12/31/05,0.020120203
1/31/06,
2/28/06,
3/31/06,0.324447342
4/30/06,
5/31/06,
6/30/06,-0.098555835
7/31/06,
8/31/06,
9/30/06,-0.023820952
10/31/06,
11/30/06,
12/31/06,0.092403448
1/31/07,
2/28/07,
3/31/07,0.564144931
4/30/07,
5/31/07,
6/30/07,0.002766528
7/31/07,
8/31/07,
9/30/07,0.036284309
10/31/07,
11/30/07,
12/31/07,0.074624299
1/31/08,
2/29/08,
3/31/08,0.417723673
4/30/08,
5/31/08,
6/30/08,0.011465714
7/31/08,
8/31/08,
9/30/08,-0.148561218
10/31/08,
11/30/08,
12/31/08,-0.32804718
1/31/09,
2/28/09,
3/31/09,-0.020055387
4/30/09,
5/31/09,
6/30/09,0.004765546
7/31/09,
8/31/09,
9/30/09,0.027183146
10/31/09,
11/30/09,
12/31/09,0.004722858
1/31/10,
2/28/10,
3/31/10,0.292057924
4/30/10,
5/31/10,
6/30/10,0.016827825
7/31/10,
8/31/10,
9/30/10,-0.007509033
10/31/10,
11/30/10,
12/31/10,0.03076565
1/31/11,
2/28/11,
3/31/11,0.362310022
4/30/11,
5/31/11,
6/30/11,0.035529005
7/31/11,
8/31/11,
9/30/11,-0.023130543
10/31/11,
11/30/11,
12/31/11,-0.220614689
1/31/12,
2/29/12,
3/31/12,0.131970253
4/30/12,
5/31/12,
6/30/12,-0.097517058
7/31/12,
8/31/12,
9/30/12,-0.119178794
10/31/12,
11/30/12,
12/31/12,-0.156715812
1/31/13,
2/28/13,
3/31/13,0.153690118
4/30/13,
5/31/13,
6/30/13,-0.170133842
7/31/13,
8/31/13,
9/30/13,-0.051465607
10/31/13,
11/30/13,
12/31/13,-0.136892812
1/31/14,
2/28/14,
3/31/14,0.026394126
4/30/14,
5/31/14,
6/30/14,-0.148441031
7/31/14,
8/31/14,
9/30/14,-0.074958562
10/31/14,
11/30/14,
12/31/14,-0.204389413
1/31/15,
2/28/15,
3/31/15,-0.003508239
4/30/15,
5/31/15,
6/30/15,-0.124058001
7/31/15,
8/31/15,
9/30/15,-0.147601534
10/31/15,
11/30/15,
12/31/15,-0.220669346
1/31/16,
2/29/16,
3/31/16,0.067266699
4/30/16,
5/31/16,
6/30/16,-0.111583047
7/31/16,
8/31/16,
9/30/16,-0.108822464
10/31/16,
11/30/16,
12/31/16,-0.098032622
1/31/17,
2/28/17,
3/31/17,0.217275947
4/30/17,
5/31/17,
6/30/17,-0.157810827
7/31/17,
8/31/17,
9/30/17,-0.103309464
10/31/17,
11/30/17,
12/31/17,-0.106702042
1/31/18,
2/28/18,
3/31/18,0.203877796
4/30/18,
5/31/18,
6/30/18,-0.171240514
7/31/18,
8/31/18,
9/30/18,-0.153689981
10/31/18,
11/30/18,
12/31/18,-0.125257774
1/31/19,
2/28/19,
3/31/19,0.027458666
4/30/19,
5/31/19,
6/30/19,-0.14629647
7/31/19,
8/31/19,
9/30/19,-0.209565767
10/31/19,
11/30/19,
12/31/19,-0.133848276
1/31/20,
2/29/20,
3/31/20,-0.944200318
4/30/20,
5/31/20,
6/30/20,0.516985324
7/31/20,
8/31/20,
9/30/20,-0.02328613
10/31/20,
11/30/20,
12/31/20,-0.022870471
1/31/21,
2/28/21,
3/31/21,0.063625621
4/30/21,
5/31/21,
6/30/21,0.014377651
7/31/21,
8/31/21,
9/30/21,-0.283093757
10/31/21,
11/30/21,
12/31/21,-0.018936518
1/31/22,
2/28/22,
3/31/22,-0.062695798
4/30/22,
5/31/22,
6/30/22,-0.363325703
7/31/22,
8/31/22,
9/30/22,-0.108428299
10/31/22,
11/30/22,
12/31/22,-0.263090692
1/31/23,
2/28/23,
3/31/23,0.143481583
4/30/23,
5/31/23,
6/30/23,-0.347600546
7/31/23,
8/31/23,
9/30/23,-0.221819192
10/31/23,
11/30/23,
12/31/23,-0.24393267
