date,dfm_mq_0,dfm_mq_1,dfm_mq_2,dfm_mq_3,midas_Unnamed: 0,midas_0,midas_1,midas_2,midas_3,lstm_0,lstm_1,lstm_2,lstm_3,elastic_net_0,elastic_net_1,elastic_net_2,elastic_net_3,target
1992-03-31,,,,,,,,,,,,,,,,,,
1992-04-30,,,,,,,,,,,,,,,,,,
1992-05-31,,,,,,,,,,,,,,,,,,
1992-06-30,,,,,,,,,,,,,,,,,,
1992-07-31,,,,,,,,,,,,,,,,,,
1992-08-31,,,,,,,,,,,,,,,,,,
1992-09-30,,,,,,,,,,,,,,,,,,0.300448274
1992-10-31,,,,,,,,,,,,,,,,,,
1992-11-30,,,,,,,,,,,,,,,,,,
1992-12-31,,,,,,,,,,,,,,,,,,0.18115248
1993-01-31,,,,,,,,,,,,,,,,,,
1993-02-28,,,,,,,,,,,,,,,,,,
1993-03-31,,,,,,,,,,,,,,,,,,-0.077665272
1993-04-30,,,,,,,,,,,,,,,,,,
1993-05-31,,,,,,,,,,,,,,,,,,
1993-06-30,,,,,,,,,,,,,,,,,,0.599289401
1993-07-31,,,,,,,,,,,,,,,,,,
1993-08-31,,,,,,,,,,,,,,,,,,
1993-09-30,,,,,,,,,,,,,,,,,,0.39810777
1993-10-31,,,,,,,,,,,,,,,,,,
1993-11-30,,,,,,,,,,,,,,,,,,
1993-12-31,,,,,,,,,,,,,,,,,,0.414000914
1994-01-31,,,,,,,,,,,,,,,,,,
1994-02-28,,,,,,,,,,,,,,,,,,
1994-03-31,,,,,,,,,,,,,,,,,,0.081663544
1994-04-30,,,,,,,,,,,,,,,,,,
1994-05-31,,,,,,,,,,,,,,,,,,
1994-06-30,,,,,,,,,,,,,,,,,,0.611347539
1994-07-31,,,,,,,,,,,,,,,,,,
1994-08-31,,,,,,,,,,,,,,,,,,
1994-09-30,,,,,,,,,,,,,,,,,,0.382014319
1994-10-31,,,,,,,,,,,,,,,,,,
1994-11-30,,,,,,,,,,,,,,,,,,
1994-12-31,,,,,,,,,,,,,,,,,,0.257897665
1995-01-31,,,,,,,,,,,,,,,,,,
1995-02-28,,,,,,,,,,,,,,,,,,
1995-03-31,,,,,,,,,,,,,,,,,,-0.229185213
1995-04-30,,,,,,,,,,,,,,,,,,
1995-05-31,,,,,,,,,,,,,,,,,,
1995-06-30,,,,,,,,,,,,,,,,,,0.494250227
1995-07-31,,,,,,,,,,,,,,,,,,
1995-08-31,,,,,,,,,,,,,,,,,,
1995-09-30,,,,,,,,,,,,,,,,,,0.278599286
1995-10-31,,,,,,,,,,,,,,,,,,
1995-11-30,,,,,,,,,,,,,,,,,,
1995-12-31,,,,,,,,,,,,,,,,,,0.138681593
1996-01-31,,,,,,,,,,,,,,,,,,
1996-02-29,,,,,,,,,,,,,,,,,,
1996-03-31,,,,,,,,,,,,,,,,,,-0.418621691
1996-04-30,,,,,,,,,,,,,,,,,,
1996-05-31,,,,,,,,,,,,,,,,,,
1996-06-30,,,,,,,,,,,,,,,,,,0.267826888
1996-07-31,,,,,,,,,,,,,,,,,,
1996-08-31,,,,,,,,,,,,,,,,,,
1996-09-30,,,,,,,,,,,,,,,,,,0.127217139
1996-10-31,,,,,,,,,,,,,,,,,,
1996-11-30,,,,,,,,,,,,,,,,,,
1996-12-31,,,,,,,,,,,,,,,,,,0.21013166
1997-01-31,,,,,,,,,,,,,,,,,,
1997-02-28,,,,,,,,,,,,,,,,,,
1997-03-31,,,,,,,,,,,,,,,,,,-0.559703344
1997-04-30,,,,,,,,,,,,,,,,,,
1997-05-31,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,,,,,,,,,,,0.105515661
1997-07-31,,,,,,,,,,,,,,,,,,
1997-08-31,,,,,,,,,,,,,,,,,,
1997-09-30,,,,,,,,,,,,,,,,,,0.015923476
1997-10-31,,,,,,,,,,,,,,,,,,
1997-11-30,,,,,,,,,,,,,,,,,,
1997-12-31,,,,,,,,,,,,,,,,,,0.125198165
1998-01-31,,,,,,,,,,,,,,,,,,
1998-02-28,,,,,,,,,,,,,,,,,,
1998-03-31,,,,,,,,,,,,,,,,,,-0.621346263
1998-04-30,,,,,,,,,,,,,,,,,,
1998-05-31,,,,,,,,,,,,,,,,,,
1998-06-30,,,,,,,,,,,,,,,,,,-0.058690818
1998-07-31,,,,,,,,,,,,,,,,,,
1998-08-31,,,,,,,,,,,,,,,,,,
1998-09-30,,,,,,,,,,,,,,,,,,0.03855609
1998-10-31,,,,,,,,,,,,,,,,,,
1998-11-30,,,,,,,,,,,,,,,,,,
1998-12-31,,,,,,,,,,,,,,,,,,0.20713747
1999-01-31,,,,,,,,,,,,,,,,,,
1999-02-28,,,,,,,,,,,,,,,,,,
1999-03-31,,,,,,,,,,,,,,,,,,-0.625578579
1999-04-30,,,,,,,,,,,,,,,,,,
1999-05-31,,,,,,,,,,,,,,,,,,
1999-06-30,,,,,,,,,,,,,,,,,,-0.133080944
1999-07-31,,,,,,,,,,,,,,,,,,
1999-08-31,,,,,,,,,,,,,,,,,,
1999-09-30,,,,,,,,,,,,,,,,,,0.008439717
1999-10-31,,,,,,,,,,,,,,,,,,
1999-11-30,,,,,,,,,,,,,,,,,,
